icd10_concept_id,code_heading,icd10_code,icd10_vocab,description,body_system,progressive,snomed_concept_id,snomed_code,snomed_name
45576439,E10,E10.41,ICD10CM,Type 1 diabetes mellitus with diabetic mononeuropathy,endocrinological,no,4225055,420918009,Mononeuropathy associated with type 1 diabetes mellitus
45595795,E10,E10.42,ICD10CM,Type 1 diabetes mellitus with diabetic polyneuropathy,endocrinological,no,37017431,713705003,Polyneuropathy due to type 1 diabetes mellitus
45533017,E10,E10.43,ICD10CM,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,endocrinological,no,37016767,712882000,Diabetic autonomic neuropathy due to type 1 diabetes mellitus
45561948,E10,E10.44,ICD10CM,Type 1 diabetes mellitus with diabetic amyotrophy,endocrinological,no,4143857,427571000,Amyotrophy due to type 1 diabetes mellitus
45586138,E10,E10.49,ICD10CM,Type 1 diabetes mellitus with other diabetic neurological complication,endocrinological,no,377821,421468001,Neurological disorder associated with type 1 diabetes mellitus
45547622,E10,E10.51,ICD10CM,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,endocrinological,no,318712,421365002,Peripheral circulatory disorder associated with type 1 diabetes mellitus
45542737,E10,E10.52,ICD10CM,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,endocrinological,no,4096668,190369008,Type 1 diabetes mellitus with gangrene
45581349,E10,E10.59,ICD10CM,Type 1 diabetes mellitus with other circulatory complications,endocrinological,no,318712,421365002,Peripheral circulatory disorder associated with type 1 diabetes mellitus
45576440,E10,E10.610,ICD10CM,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,endocrinological,no,45769830,71771000119100,Neuropathic arthropathy due to type 1 diabetes mellitus
45537960,E10,E10.618,ICD10CM,Type 1 diabetes mellitus with other diabetic arthropathy,endocrinological,no,4152858,314893005,Type 1 diabetes mellitus with arthropathy
45600639,E10,E10.620,ICD10CM,Type 1 diabetes mellitus with diabetic dermatitis,endocrinological,no,45769832,72021000119109,Diabetic dermopathy due to type 1 diabetes mellitus
45605398,E10,E10.621,ICD10CM,Type 1 diabetes mellitus with foot ulcer,endocrinological,no,45770902,110141000119100,Ulcer of lower limb due to type 1 diabetes mellitus
45581350,E10,E10.622,ICD10CM,Type 1 diabetes mellitus with other skin ulcer,endocrinological,no,4099214,190368000,Type 1 diabetes mellitus with ulcer
45566729,E10,E10.628,ICD10CM,Type 1 diabetes mellitus with other skin complications,endocrinological,no,45769832,72021000119109,Diabetic dermopathy due to type 1 diabetes mellitus
45557111,E10,E10.630,ICD10CM,Type 1 diabetes mellitus with periodontal disease,endocrinological,no,435216,420868002,Disorder due to type 1 diabetes mellitus
45547623,E10,E10.638,ICD10CM,Type 1 diabetes mellitus with other oral complications,endocrinological,no,435216,420868002,Disorder due to type 1 diabetes mellitus
45552383,E10,E10.641,ICD10CM,Type 1 diabetes mellitus with hypoglycemia with coma,endocrinological,no,4228112,421437000,Hypoglycemic coma in type 1 diabetes mellitus
45600640,E10,E10.649,ICD10CM,Type 1 diabetes mellitus with hypoglycemia without coma,endocrinological,no,45769876,84371000119108,Hypoglycemia due to type 1 diabetes mellitus
45533018,E10,E10.65,ICD10CM,Type 1 diabetes mellitus with hyperglycemia,endocrinological,no,37016348,367991000119101,Hyperglycemia due to type 1 diabetes mellitus
45547624,E10,E10.69,ICD10CM,Type 1 diabetes mellitus with other specified complication,endocrinological,no,435216,420868002,Disorder due to type 1 diabetes mellitus
45552384,E10,E10.8,ICD10,Type 1 diabetes mellitus with unspecified complications,endocrinological,no,435216,420868002,Disorder due to type 1 diabetes mellitus
35206878,E10,E10.8,ICD10CM,Type 1 diabetes mellitus with unspecified complications,endocrinological,no,435216,420868002,Disorder due to type 1 diabetes mellitus
45581351,E10,E10.9,ICD10,Type 1 diabetes mellitus without complications,endocrinological,no,443412,313435000,Type 1 diabetes mellitus without complication
35206879,E10,E10.9,ICD10CM,Type 1 diabetes mellitus without complications,endocrinological,no,443412,313435000,Type 1 diabetes mellitus without complication
45542738,E11,E11.00,ICD10CM,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),endocrinological,no,201826,44054006,Type 2 diabetes mellitus
45542738,E11,E11.00,ICD10CM,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),endocrinological,no,4032787,14735008,Hyperosmolarity
45586139,E11,E11.01,ICD10CM,Type 2 diabetes mellitus with hyperosmolarity with coma,endocrinological,no,201530,190331003,Type 2 diabetes mellitus with hyperosmolar coma
45591027,E11,E11.21,ICD10CM,Type 2 diabetes mellitus with diabetic nephropathy,endocrinological,no,443731,420279001,Renal disorder due to type 2 diabetes mellitus
45595797,E11,E11.22,ICD10CM,Type 2 diabetes mellitus with diabetic chronic kidney disease,endocrinological,no,43531578,771000119108,Chronic kidney disease due to type 2 diabetes mellitus
45605401,E11,E11.29,ICD10CM,Type 2 diabetes mellitus with other diabetic kidney complication,endocrinological,no,443731,420279001,Renal disorder due to type 2 diabetes mellitus
45581352,E11,E11.311,ICD10CM,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,endocrinological,no,45770830,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus
37200311,E13,E13.37X9,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",endocrinological,no,380097,312912001,Diabetic macular edema
45581353,E11,E11.319,ICD10CM,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,endocrinological,no,443733,422099009,Diabetic oculopathy associated with type 2 diabetes mellitus
37200198,E11,E11.3211,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200198,E11,E11.3211,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200199,E11,E11.3212,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200199,E11,E11.3212,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200200,E11,E11.3213,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200200,E11,E11.3213,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200201,E11,E11.3219,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200201,E11,E11.3219,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200202,E11,E11.3291,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200203,E11,E11.3292,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200204,E11,E11.3293,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200205,E11,E11.3299,ICD10CM,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45757435,138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
37200206,E11,E11.3311,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200206,E11,E11.3311,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200207,E11,E11.3312,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200207,E11,E11.3312,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200208,E11,E11.3313,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200208,E11,E11.3313,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200209,E11,E11.3319,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,380097,312912001,Diabetic macular edema
37200209,E11,E11.3319,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200210,E11,E11.3391,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200211,E11,E11.3392,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200212,E11,E11.3393,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200213,E11,E11.3399,ICD10CM,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,45770881,138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
37200214,E11,E11.3411,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,4290822,399872003,Severe nonproliferative diabetic retinopathy with clinically significant macular edema
37200214,E11,E11.3411,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200215,E11,E11.3412,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,4290822,399872003,Severe nonproliferative diabetic retinopathy with clinically significant macular edema
37200215,E11,E11.3412,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200216,E11,E11.3413,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,4290822,399872003,Severe nonproliferative diabetic retinopathy with clinically significant macular edema
37200216,E11,E11.3413,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200217,E11,E11.3419,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,4290822,399872003,Severe nonproliferative diabetic retinopathy with clinically significant macular edema
45562061,F63,F63.1,ICD10,Pyromania,mental health,no,434629,600009,Pyromania
37200217,E11,E11.3419,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200218,E11,E11.3491,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,4266637,399873008,Severe nonproliferative diabetic retinopathy with no macular edema
37200218,E11,E11.3491,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200219,E11,E11.3492,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,4266637,399873008,Severe nonproliferative diabetic retinopathy with no macular edema
45571675,E440,E44.0,ICD10,Moderate protein-calorie malnutrition,metabolic,no,4098458,190602008,Moderate protein-calorie malnutrition
37200219,E11,E11.3492,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200220,E11,E11.3493,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,4266637,399873008,Severe nonproliferative diabetic retinopathy with no macular edema
37200220,E11,E11.3493,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200221,E11,E11.3499,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,4266637,399873008,Severe nonproliferative diabetic retinopathy with no macular edema
37200221,E11,E11.3499,ICD10CM,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,43530656,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus
37200222,E11,E11.3511,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200222,E11,E11.3511,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,45770830,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus
37200223,E11,E11.3512,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200223,E11,E11.3512,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,45770830,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus
37200224,E11,E11.3513,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200224,E11,E11.3513,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,45770830,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus
37200225,E11,E11.3519,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200225,E11,E11.3519,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,45770830,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus
37200227,E11,E11.3521,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,4338896,232010004,Traction retinal detachment involving macula
37200227,E11,E11.3521,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200228,E11,E11.3522,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,4338896,232010004,Traction retinal detachment involving macula
37200228,E11,E11.3522,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200229,E11,E11.3523,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,4338896,232010004,Traction retinal detachment involving macula
37200229,E11,E11.3523,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200230,E11,E11.3529,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,4338896,232010004,Traction retinal detachment involving macula
37200230,E11,E11.3529,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200232,E11,E11.3531,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200232,E11,E11.3531,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,45773064,82541000119100,Traction retinal detachment due to type 2 diabetes mellitus
37200233,E11,E11.3532,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200233,E11,E11.3532,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,45773064,82541000119100,Traction retinal detachment due to type 2 diabetes mellitus
37200234,E11,E11.3533,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200234,E11,E11.3533,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,45773064,82541000119100,Traction retinal detachment due to type 2 diabetes mellitus
37200235,E11,E11.3539,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200235,E11,E11.3539,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,45773064,82541000119100,Traction retinal detachment due to type 2 diabetes mellitus
37200237,E11,E11.3541,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,4338897,232012007,Combined traction and rhegmatogenous retinal detachment
45586140,E11,E11.618,ICD10CM,Type 2 diabetes mellitus with other diabetic arthropathy,endocrinological,no,4196141,314903002,Type 2 diabetes mellitus with arthropathy
37200237,E11,E11.3541,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200238,E11,E11.3542,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,4338897,232012007,Combined traction and rhegmatogenous retinal detachment
37200238,E11,E11.3542,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200239,E11,E11.3543,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,4338897,232012007,Combined traction and rhegmatogenous retinal detachment
37200239,E11,E11.3543,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200240,E11,E11.3549,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,4338897,232012007,Combined traction and rhegmatogenous retinal detachment
37200240,E11,E11.3549,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200242,E11,E11.3551,ICD10CM,Type 2 diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200243,E11,E11.3552,ICD10CM,Type 2 diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200244,E11,E11.3553,ICD10CM,Type 2 diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200245,E11,E11.3559,ICD10CM,Type 2 diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200246,E11,E11.3591,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200247,E11,E11.3592,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200248,E11,E11.3593,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
37200249,E11,E11.3599,ICD10CM,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,43530685,1501000119109,Proliferative diabetic retinopathy due to type 2 diabetes mellitus
45595798,E11,E11.36,ICD10CM,Type 2 diabetes mellitus with diabetic cataract,endocrinological,no,4221495,420756003,Diabetic cataract associated with type 2 diabetes mellitus
37200251,E11,E11.37X1,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,201826,44054006,Type 2 diabetes mellitus
37200251,E11,E11.37X1,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,380097,312912001,Diabetic macular edema
37200252,E11,E11.37X2,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,201826,44054006,Type 2 diabetes mellitus
37200252,E11,E11.37X2,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,380097,312912001,Diabetic macular edema
37200253,E11,E11.37X3,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,201826,44054006,Type 2 diabetes mellitus
37200253,E11,E11.37X3,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,380097,312912001,Diabetic macular edema
37200254,E11,E11.37X9,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,201826,44054006,Type 2 diabetes mellitus
37200254,E11,E11.37X9,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment,",endocrinological,no,380097,312912001,Diabetic macular edema
45533019,E11,E11.39,ICD10CM,Type 2 diabetes mellitus with other diabetic ophthalmic complication,endocrinological,no,443733,422099009,Diabetic oculopathy associated with type 2 diabetes mellitus
45605403,E11,E11.40,ICD10CM,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",endocrinological,no,376065,421326000,Neurologic disorder associated with type 2 diabetes mellitus
45547625,E11,E11.41,ICD10CM,Type 2 diabetes mellitus with diabetic mononeuropathy,endocrinological,no,4222415,420436000,Mononeuropathy associated with type 2 diabetes mellitus
45557113,E11,E11.42,ICD10CM,Type 2 diabetes mellitus with diabetic polyneuropathy,endocrinological,no,37017432,713706002,Polyneuropathy due to type 2 diabetes mellitus
45537962,E11,E11.43,ICD10CM,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,endocrinological,no,37016768,712883005,Diabetic autonomic neuropathy due to type 2 diabetes mellitus
45533020,E11,E11.44,ICD10CM,Type 2 diabetes mellitus with diabetic amyotrophy,endocrinological,no,4140466,427027005,Amyotrophy due to type 2 diabetes mellitus
45533021,E11,E11.51,ICD10CM,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,endocrinological,no,443729,422166005,Peripheral circulatory disorder associated with type 2 diabetes mellitus
45533022,E11,E11.52,ICD10CM,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,endocrinological,no,4099217,190390000,Type 2 diabetes mellitus with gangrene
45576443,E11,E11.59,ICD10CM,Type 2 diabetes mellitus with other circulatory complications,endocrinological,no,443729,422166005,Peripheral circulatory disorder associated with type 2 diabetes mellitus
45600641,E11,E11.610,ICD10CM,Type 2 diabetes mellitus with diabetic neuropathic arthropathy,endocrinological,no,4198296,314904008,Type 2 diabetes mellitus with neuropathic arthropathy
45547626,E11,E11.620,ICD10CM,Type 2 diabetes mellitus with diabetic dermatitis,endocrinological,no,43531616,1531000119102,Diabetic dermopathy associated with diabetes mellitus type 2
45581355,E11,E11.621,ICD10CM,Type 2 diabetes mellitus with foot ulcer,endocrinological,no,43530690,1521000119100,Foot ulcer due to type 2 diabetes mellitus
45600642,E11,E11.622,ICD10CM,Type 2 diabetes mellitus with other skin ulcer,endocrinological,no,4099651,190389009,Type 2 diabetes mellitus with ulcer
45547627,E11,E11.628,ICD10CM,Type 2 diabetes mellitus with other skin complications,endocrinological,no,43531616,1531000119102,Diabetic dermopathy associated with diabetes mellitus type 2
45533023,E11,E11.630,ICD10CM,Type 2 diabetes mellitus with periodontal disease,endocrinological,no,134398,2556008,Periodontal disease
45533023,E11,E11.630,ICD10CM,Type 2 diabetes mellitus with periodontal disease,endocrinological,no,443732,422014003,Disorder due to type 2 diabetes mellitus
45566731,E11,E11.638,ICD10CM,Type 2 diabetes mellitus with other oral complications,endocrinological,no,443732,422014003,Disorder due to type 2 diabetes mellitus
45561949,E11,E11.641,ICD10CM,Type 2 diabetes mellitus with hypoglycemia with coma,endocrinological,no,36714116,719216001,Hypoglycemic coma co-occurrent and due to diabetes mellitus type II
45591031,E11,E11.649,ICD10CM,Type 2 diabetes mellitus with hypoglycemia without coma,endocrinological,no,45757363,120731000119103,Hypoglycemia due to type 2 diabetes mellitus
45605405,E11,E11.65,ICD10CM,Type 2 diabetes mellitus with hyperglycemia,endocrinological,no,37016349,368051000119109,Hyperglycemia due to type 2 diabetes mellitus
45595799,E11,E11.69,ICD10CM,Type 2 diabetes mellitus with other specified complication,endocrinological,no,443732,422014003,Disorder due to type 2 diabetes mellitus
45561951,E11,E11.8,ICD10,Type 2 diabetes mellitus with unspecified complications,endocrinological,no,443732,422014003,Disorder due to type 2 diabetes mellitus
35206881,E11,E11.8,ICD10CM,Type 2 diabetes mellitus with unspecified complications,endocrinological,no,443732,422014003,Disorder due to type 2 diabetes mellitus
45561952,E11,E11.9,ICD10,Type 2 diabetes mellitus without complications,endocrinological,no,4193704,313436004,Type 2 diabetes mellitus without complication
35206882,E11,E11.9,ICD10CM,Type 2 diabetes mellitus without complications,endocrinological,no,4193704,313436004,Type 2 diabetes mellitus without complication
45561953,E13,E13.00,ICD10CM,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),endocrinological,no,201820,73211009,Diabetes mellitus
